1
201.50,104.50,37.00,125.00
199.50,103.50,37.00,125.00
198.50,102.50,37.00,125.00
197.50,101.50,37.00,125.00
196.50,100.50,37.00,125.00
196.50,98.50,37.00,125.00
197.50,97.50,37.00,125.00
199.50,96.50,37.00,125.00
200.50,95.50,37.00,125.00
201.50,93.50,37.00,125.00
204.50,93.50,37.00,125.00
207.50,93.50,37.00,125.00
208.50,94.50,37.00,125.00
207.50,95.50,37.00,125.00
206.50,95.50,37.00,125.00
205.50,95.50,37.00,125.00
205.50,94.50,37.00,125.00
203.50,93.50,37.00,125.00
202.50,92.50,37.00,125.00
203.50,90.50,37.00,125.00
204.50,89.50,37.00,125.00
205.50,88.50,37.00,125.00
206.50,88.50,37.00,125.00
206.50,88.50,37.00,125.00
207.50,88.50,37.00,125.00
207.50,88.50,37.00,125.00
207.50,87.50,37.00,125.00
207.50,87.50,37.00,125.00
207.50,85.50,37.00,125.00
208.50,84.50,37.00,125.00
209.50,83.50,37.00,125.00
210.50,83.50,37.00,125.00
211.50,83.50,37.00,125.00
212.50,83.50,37.00,125.00
212.50,83.50,37.00,125.00
212.50,84.50,37.00,125.00
212.50,84.50,37.00,125.00
212.50,84.50,37.00,125.00
212.50,83.50,37.00,125.00
212.50,84.50,37.00,125.00
212.50,87.50,37.00,125.00
212.50,89.50,37.00,125.00
213.50,92.50,37.00,125.00
213.50,94.50,37.00,125.00
213.50,95.50,37.00,125.00
212.50,96.50,37.00,125.00
212.50,98.50,37.00,125.00
211.50,98.50,37.00,125.00
208.50,99.50,37.00,125.00
205.50,98.50,37.00,125.00
201.50,97.50,37.00,125.00
197.50,96.50,37.00,125.00
193.50,93.50,37.00,125.00
190.50,91.50,37.00,125.00
189.50,89.50,37.00,125.00
188.50,87.50,37.00,125.00
187.50,88.50,37.00,125.00
187.50,91.50,37.00,125.00
188.50,92.50,37.00,125.00
189.50,93.50,37.00,125.00
190.50,95.50,37.00,125.00
191.50,97.50,37.00,125.00
193.50,98.50,37.00,125.00
194.50,97.50,37.00,125.00
192.50,96.50,37.00,125.00
190.50,95.50,37.00,125.00
192.50,95.50,37.00,125.00
193.50,94.50,37.00,125.00
196.50,93.50,37.00,125.00
202.50,93.50,37.00,125.00
210.50,92.50,37.00,125.00
213.50,88.50,37.00,125.00
213.50,86.50,37.00,125.00
210.50,86.50,37.00,125.00
204.50,85.50,37.00,125.00
198.50,85.50,37.00,125.00
192.50,85.50,37.00,125.00
192.50,82.50,37.00,125.00
189.50,80.50,37.00,125.00
184.50,76.50,37.00,125.00
184.50,69.50,37.00,125.00
186.50,63.50,37.00,125.00
189.50,59.50,37.00,125.00
190.50,57.50,37.00,125.00
191.50,56.50,37.00,125.00
192.50,55.50,37.00,125.00
194.50,55.50,37.00,125.00
194.50,57.50,37.00,125.00
194.50,62.50,37.00,125.00
193.50,68.50,37.00,125.00
193.50,75.50,37.00,125.00
193.50,79.50,37.00,125.00
